Year,location,plot,rep,exp,trt,var,var2,legume,Nfert,Nfertnew,seedyld,grassyld,legumeyld,biomassyld,ht,lod,N,P,K,S,Ca,Mg,Na,Zn,Fe,Mn,Cu,B,UA,KL,RHA,FUC,ARA,XYL,MAN,GAL,GLC,ash,IVTD,ADF,NDF,CP,DM
2012,Lam,2108,1,N,7,rush,rush,0,0,0,463.6,8980,0,8980,155,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2109,1,N,16,switch,switch,0,120,0,NA,NA,0,NA,40,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2110,1,N,6,TLI,TLI,0,200,0,NA,NA,0,NA,150,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2111,1,N,10,rush,rush,0,120,0,NA,NA,0,NA,155,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2112,1,N,18,switch,switch,0,200,0,NA,NA,0,NA,35,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2113,1,N,5,TLI,TLI,0,160,0,561.6,7760,0,7760,150,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2114,1,N,11,rush,rush,0,160,0,NA,NA,0,NA,155,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2115,1,N,14,switch,switch,0,40,0,NA,NA,0,NA,40,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2116,1,N,1,TLI,TLI,0,0,0,NA,NA,0,NA,150,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Lam,2117,1,N,8,rush,rush,0,40,0,NA,NA,0,NA,155,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
